name,city,province,sector,website_url
Shaheed Benazir Bhutto Dewan University,"Korangi Industrial Area, Karachi",,,https://en.wikipedia.org/wiki/Shaheed_Benazir_Bhutto_Dewan_University
Shaheed Benazir Bhutto Women University,Peshawar,,,https://www.sbbwu.edu.pk/
Shaheed Zulfikar Ali Bhutto Institute of Science and Technology (SZABIST),"Karachi (also Islamabad, Larkana, Hyderabad, Benazirabad, Khairpur, Gharo, Sehwan campuses)",,,https://szabist.edu.pk/admission-requirements/
Shaheed Zulfiqar Ali Bhutto Medical University,Islamabad,,,http://www.szabmu.edu.pk/admission/mbbs-admission
Shaikh Ayaz University,Shikarpur,,,https://saus.edu.pk/
Shifa Tameer-e-Millat University,"H-8/4, Islamabad",,,https://stmu.edu.pk/admissions/eligibility-criteria/
Sindh Agriculture University,Tandojam,,,https://sau.edu.pk/wp-content/uploads/2024/08/Admission-Policy-2024-25-Final-Edit.pdf
Sindh Madressatul Islam University,Karachi,,,https://www.ilmkidunya.com/admissions/Admission-Open-in-Sindh-Madressatul-Islam-University-22256.aspx
Sir Syed University of Engineering and Technology,Karachi,,,https://www.ilmkidunya.com/colleges/sir-syed-university-of-engineering-and-technology-karachi-merit-lists.aspx
Sohail University,"Shaheed-e-Millat Road, Karachi",,,https://www.ilmkidunya.com/colleges/sohail-university-admission.aspx
Sukkur IBA University,Sukkur,,,https://www.iba-suk.edu.pk/
Superior University,Lahore,,,http://www.superior.edu.pk/
Textile Institute of Pakistan,Karachi,,,https://tip.edu.pk/admission-criteria/
Thal University,Bhakkar,,,https://gotest.com.pk/admissions/thal-university-bhakkar-admission/
The Islamia University of Bahawalpur,Bahawalpur,,,https://pmdc.org.pk/the-islamia-university-of-bahawalpur-iub-sialkot-admission-guide/
Times Institute,Multan,,,https://jaamiah.com/university/times-institute-multan/
University of Agriculture Dera Ismail Khan,"Fateh Morr, near Baahoo Flour Mill, Bhakkar Road, Dera Ismail Khan",,,https://jaamiah.com/university/university-of-agriculture-dik/
University of Agriculture Faisalabad,Faisalabad,,,https://pmdc.org.pk/university-of-agriculture-faisalabad-uaf-admission-guide/
University of Art and Culture Jamshoro,"Kohistan Valley, Gulshan Shahbaz, Jamshoro",,,https://uac.edu.pk/official/regulations/
University of Azad Jammu and Kashmir,Muzaffarabad,,,https://ajku.edu.pk/eligibility-criteria/
University of Balochistan,Quetta,,,http://www.admission.pk/universities/universities_display.aspx?university=ub
University of Central Punjab,Lahore,,,http://www.ucp.edu.pk/
University of Chakwal,Chakwal,,,https://educated.pk/university-of-chakwal-merit-list/
University of Child Health Sciences,Lahore,,,https://chich.edu.pk/admissions
University of Chitral,Chitral,,,https://jaamiah.com/university/university-of-chitral/
University of Dir,Timergara,,,https://en.wikipedia.org/wiki/University_of_Dir
University of Education,Lahore,,,https://www.vstudents.org/education/university-of-education-admissions/
University of Engineering & Applied Sciences Swat,Swat,,,https://ueas.edu.pk/
University of Engineering and Technology Lahore,Lahore,,,https://freetoolforge.org/tools/calculators/uet-merit-calculator
University of Engineering and Technology Taxila,Taxila,,,https://campusaxis.pk/merit-calculator/uet-taxila
University of Gujrat,Gujrat,,,https://www.ilmkidunya.com/colleges/university-of-gujrat-hafiz-hayat-campus-admission.aspx
University of Haripur,Haripur,,,https://www.uoh.edu.pk/
University of Health Sciences Lahore,Lahore,,,https://www.thenews.com.pk/print/553006-first-merit-list-of-mbbs-bds-admission
University of Jhang,Jhang,,,https://admissions.com.pk/university-of-jhang-admission/
University of Karachi,Karachi,,,https://www.uok.edu.pk/admissions/2024/ombsiyclos.pdf
University of Lahore,Lahore,,,https://blog.maqsad.io/blog/university-of-lahore-admission
University of Larkano,"Bakrani Road / Moen jo Daro-Airport Road, Larkana",,,https://www.ilmkidunya.com/colleges/university-of-larkano.aspx
University of Loralai,Loralai,,,https://www.ilmkidunya.com/colleges/university-of-loralai.aspx
University of Malakand,Chakdara,,,https://www.uom.edu.pk/
University of Management and Technology Lahore,Lahore,,,https://admissions.umt.edu.pk/Admissions-Schedule.aspx
University of Narowal,Narowal,,,https://educator.ac.pk/university-of-narowal-admission/
University of Okara,Okara,,,https://wslconsultants.com/university-of-okara-admission-2025/
University of Peshawar,Peshawar,,,http://brains.edu.pk
University of Sahiwal,Sahiwal,,,http://www.uosahiwal.edu.pk/
University of Sargodha,Sargodha,,,https://www.studocu.com/row/document/lahore-school-of-economics/monetary-economics/admission-notice-for-bs-in-computer-science-university-of-sargodha-2025/137387644
University of Science and Technology Bannu,Bannu,,,https://ustb.edu.pk/
University of Sialkot,Sialkot,,,https://pmdc.org.pk/university-of-sialkot-uos-admission-guide/
University of Sindh,Jamshoro,,,http://www.jsmu.edu.pk
University of South Asia,Lahore,,,https://www.diltak.com/university-of-south-asia-admission-fee-structure-programs-merit-list/
University of Sufism and Modern Sciences,"Bhitshah, Matiari District",,,https://admissionscorner.com/university-of-sufism-and-modern-sciences-admissions-fall/
University of Technology Nowshera,"Amangarh, Nowshera (Shuhada-e-APS University of Technology)",,,https://uotnowshera.edu.pk/wp-content/uploads/2025/08/2nd-Final-Admission-along-with-MS.pdf
University of Turbat,Turbat,,,https://uot.edu.pk/uot-admission-spring-2026-eligibility-criteria-instructions
University of Veterinary and Animal Sciences,Lahore,,,https://uvas.edu.pk/
University of Wah,Wah Cantt,,,https://admissions.uow.edu.pk/admissions/FinancialAidUnderGrad
University of the Punjab,Lahore,,,https://iubfun.com/punjab-university-admission/
Virtual University of Pakistan,Islamabad (HQ; online/nationwide virtual campuses),,,https://www.vstudents.org/education/virtual-university-admissions/
Women University Mardan,Mardan,,,https://wumardan.edu.pk/
Ziauddin University,Karachi,,,https://pmdc.org.pk/ziauddin-university-zu-admission-guide/
